,BEGIN,END,PERIOD_EUR,SITE,fact,KWH,Consum_moy
0,2018-01-01,2018-01-31,"316,46",0001BB,30,2447,81.56666666666666
1,2018-01-02,2018-02-28,"286,82",0001BB,57,2211,38.78947368421053
2,2018-01-03,2018-03-31,"317,32",0001BB,87,2450,28.160919540229884
3,2018-01-04,2018-04-30,"315,00",0001BB,116,2431,20.95689655172414
4,2018-01-05,2018-05-31,"333,37",0001BB,146,2574,17.63013698630137
5,2018-01-06,2018-06-30,"365,27",0001BB,175,2830,16.17142857142857
6,2018-01-07,2018-07-31,"390,39",0001BB,205,3028,14.770731707317074
7,2018-01-08,2018-08-31,"393,99",0001BB,235,3053,12.991489361702127
8,2018-01-09,2018-09-30,"378,35",0001BB,264,2915,11.041666666666666
9,2018-01-10,2018-10-31,"387,05",0001BB,294,2986,10.156462585034014
10,2018-01-11,2018-11-30,"372,47",0001BB,323,2871,8.888544891640867
11,2018-01-12,2018-12-31,"399,30",0001BB,353,3086,8.742209631728045
12,2019-01-01,2019-01-31,"381,40",0001BB,30,3094,103.13333333333334
13,2019-01-02,2019-02-28,"345,87",0001BB,57,2767,48.54385964912281
14,2019-01-03,2019-03-31,"378,18",0001BB,87,3059,35.160919540229884
15,2019-01-04,2019-04-30,"340,84",0001BB,116,2761,23.801724137931036
16,2019-01-05,2019-05-31,"349,26",0001BB,146,2844,19.47945205479452
17,2019-01-06,2019-06-30,"369,19",0001BB,175,3009,17.194285714285716
18,2019-01-07,2019-07-31,"371,20",0001BB,205,3016,14.71219512195122
19,2019-01-08,2019-08-31,"380,42",0001BB,235,3089,13.14468085106383
20,2019-01-09,2019-09-30,"361,36",0001BB,264,2914,11.037878787878787
21,2019-01-10,2019-10-31,"366,70",0001BB,294,2963,10.078231292517007
22,2019-01-11,2019-11-30,"345,89",0001BB,323,2797,8.659442724458204
23,2019-01-12,2019-12-31,"353,08",0001BB,353,2859,8.09915014164306
24,2020-01-01,2020-01-31,"414,93",0001BB,30,2863,95.43333333333334
25,2020-01-02,2020-02-29,"387,22",0001BB,58,2663,45.91379310344828
26,2020-01-03,2020-03-31,"403,25",0001BB,88,2759,31.352272727272727
27,2020-01-04,2020-04-30,"390,79",0001BB,117,2680,22.905982905982906
28,2020-01-05,2020-05-31,"407,48",0001BB,147,2797,19.027210884353742
29,2020-01-06,2020-06-30,"407,77",0001BB,176,2796,15.886363636363637
30,2020-01-07,2020-07-31,"429,09",0001BB,206,2952,14.330097087378642
31,2020-01-08,2020-08-31,"435,98",0001BB,236,3014,12.771186440677965
32,2020-01-09,2020-09-30,"411,97",0001BB,265,2857,10.781132075471698
33,2020-01-10,2020-10-31,"413,41",0001BB,295,2905,9.847457627118644
34,2020-01-11,2020-11-30,"383,02",0001BB,324,2755,8.503086419753087
35,2018-01-01,2018-01-31,"266,43",0001BR,30,2438,81.26666666666667
36,2018-01-02,2018-02-28,"242,33",0001BR,57,2211,38.78947368421053
37,2018-01-03,2018-03-31,"267,95",0001BR,87,2453,28.195402298850574
38,2018-01-04,2018-04-30,"263,78",0001BR,116,2414,20.810344827586206
39,2018-01-05,2018-05-31,"274,62",0001BR,146,2517,17.23972602739726
40,2018-01-06,2018-06-30,"268,63",0001BR,175,2461,14.062857142857142
41,2018-01-07,2018-07-31,"279,26",0001BR,205,2560,12.487804878048781
42,2018-01-08,2018-08-31,"283,07",0001BR,235,2597,11.051063829787234
43,2018-01-09,2018-09-30,"267,99",0001BR,264,2436,9.227272727272727
44,2018-01-10,2018-10-31,"274,50",0001BR,294,2497,8.493197278911564
